Time (s) - Plot 0	Resistivity (Ohm*cm) - Plot 0	
1401,63	1,78E+0	
1403,14	1,77E+0	
1404,65	1,77E+0	
1406,16	1,77E+0	
1407,67	1,77E+0	
1409,18	1,77E+0	
1410,69	1,77E+0	
1412,2	1,77E+0	
1413,72	1,76E+0	
1415,23	1,76E+0	
1416,73	1,76E+0	
1418,24	1,76E+0	
1419,93	1,76E+0	
1421,51	1,76E+0	
1423,03	1,76E+0	
1424,54	1,76E+0	
1426,04	1,76E+0	
1427,55	1,76E+0	
1429,06	1,76E+0	
1430,57	1,76E+0	
1432,07	1,76E+0	
1433,58	1,76E+0	
1435,09	1,76E+0	
1436,6	1,75E+0	
1438,11	1,75E+0	
1439,62	1,75E+0	
1441,13	1,75E+0	
1442,63	1,75E+0	
1444,14	1,75E+0	
1445,65	1,75E+0	
1447,16	1,75E+0	
1448,67	1,75E+0	
1450,18	1,75E+0	
1451,68	1,75E+0	
1453,19	1,75E+0	
1454,7	1,75E+0	
1456,21	1,74E+0	
1457,72	1,74E+0	
1459,23	1,74E+0	
1460,73	1,74E+0	
1462,24	1,74E+0	
1463,75	1,74E+0	
1465,26	1,74E+0	
1466,77	1,74E+0	
1468,28	1,74E+0	
1469,78	1,74E+0	
1471,29	1,74E+0	
1472,8	1,74E+0	
1474,31	1,74E+0	
1475,82	1,74E+0	
1477,33	1,74E+0	
1478,83	1,74E+0	
1480,34	1,73E+0	
1481,85	1,73E+0	
1483,36	1,73E+0	
1484,87	1,73E+0	
1486,38	1,73E+0	
1487,89	1,73E+0	
1489,4	1,73E+0	
1490,9	1,73E+0	
1492,41	1,73E+0	
1493,92	1,73E+0	
1495,43	1,73E+0	
1496,94	1,73E+0	
1498,45	1,72E+0	
1499,96	1,73E+0	
1501,47	1,73E+0	
1502,97	1,72E+0	
1504,48	1,72E+0	
1505,99	1,72E+0	
1507,5	1,72E+0	
1509,01	1,72E+0	
1510,52	1,72E+0	
1512,02	1,72E+0	
1513,53	1,72E+0	
1515,04	1,72E+0	
1516,55	1,72E+0	
1518,06	1,72E+0	
1519,57	1,71E+0	
1521,07	1,71E+0	
1522,58	1,71E+0	
1524,09	1,71E+0	
1525,6	1,71E+0	
1527,11	1,71E+0	
1528,62	1,71E+0	
1530,12	1,71E+0	
1531,63	1,71E+0	
1533,14	1,71E+0	
1534,65	1,71E+0	
1536,16	1,71E+0	
1537,67	1,71E+0	
1539,18	1,71E+0	
1540,69	1,7E+0	
1542,2	1,7E+0	
1543,71	1,71E+0	
1545,22	1,7E+0	
1546,72	1,7E+0	
1548,23	1,7E+0	
1549,74	1,7E+0	
1551,25	1,7E+0	
1552,76	1,7E+0	
1554,27	1,7E+0	
1555,78	1,7E+0	
1557,29	1,7E+0	
1558,79	1,7E+0	
1560,3	1,7E+0	
1561,81	1,7E+0	
1563,32	1,69E+0	
1564,83	1,69E+0	
1566,33	1,69E+0	
1567,84	1,69E+0	
1569,35	1,69E+0	
1570,86	1,69E+0	
1572,36	1,69E+0	
1573,87	1,69E+0	
1575,38	1,69E+0	
1576,89	1,69E+0	
1578,4	1,69E+0	
1579,9	1,69E+0	
1581,41	1,69E+0	
1582,92	1,69E+0	
1584,43	1,69E+0	
1585,94	1,69E+0	
1587,44	1,69E+0	
1588,95	1,68E+0	
1590,46	1,68E+0	
1591,97	1,68E+0	
1593,48	1,68E+0	
1594,99	1,68E+0	
1596,5	1,68E+0	
1598,01	1,68E+0	
1599,51	1,68E+0	
1601,02	1,68E+0	
1602,53	1,68E+0	
1604,04	1,68E+0	
1605,55	1,68E+0	
1607,06	1,67E+0	
1608,57	1,68E+0	
1610,08	1,68E+0	
1611,59	1,67E+0	
1613,09	1,67E+0	
1614,6	1,67E+0	
1616,11	1,67E+0	
1617,62	1,67E+0	
1619,13	1,67E+0	
1620,64	1,67E+0	
1622,14	1,67E+0	
1623,65	1,67E+0	
1625,16	1,67E+0	
1626,67	1,67E+0	
1628,18	1,67E+0	
1629,69	1,67E+0	
1631,19	1,66E+0	
1632,7	1,66E+0	
1634,21	1,66E+0	
1635,72	1,66E+0	
1637,23	1,66E+0	
1638,74	1,66E+0	
1640,25	1,66E+0	
1641,76	1,66E+0	
1643,27	1,66E+0	
1644,77	1,66E+0	
1646,28	1,66E+0	
1647,79	1,66E+0	
1649,3	1,66E+0	
1650,81	1,66E+0	
1652,32	1,66E+0	
1653,83	1,65E+0	
1655,34	1,65E+0	
1656,85	1,65E+0	
1658,36	1,65E+0	
1659,86	1,65E+0	
1661,38	1,65E+0	
1662,91	1,65E+0	
1664,42	1,65E+0	
1665,93	1,65E+0	
1667,44	1,65E+0	
1668,94	1,65E+0	
1670,45	1,65E+0	
1671,96	1,65E+0	
1673,47	1,64E+0	
1674,98	1,64E+0	
1676,49	1,64E+0	
1678	1,64E+0	
1679,51	1,64E+0	
1681,02	1,64E+0	
1682,53	1,64E+0	
1684,04	1,64E+0	
1685,55	1,64E+0	
1687,06	1,64E+0	
1688,56	1,64E+0	
1690,07	1,64E+0	
1691,58	1,64E+0	
1693,09	1,64E+0	
1694,6	1,64E+0	
1696,11	1,64E+0	
1697,61	1,64E+0	
1699,12	1,63E+0	
